id,tweet,subtask_c
32139,@user rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol http,IND
59690,alert: candace owens was just attacked by antifa http,IND
23311,@user another dumbass democrat. one thing you have to say about this president is he’s not lazy. another bullshit story as usual,GRP
33600,@user @user when robyn posts a selfie the world stops for a moment to appreciate it,IND
79122,@user @user @user the democrats are so desperate all those ppl threatening sen collins are from ca. they will do anything to delay or halt confirmation and @user re-election is on the line she is desperate. the ppl &amp; gop are quite aware of what is going on.,GRP
58576,@user so it moves forward. damn the facts as long as you keep up the narrative! the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals,GRP
70525,@user poor baby.  this is why you and your entire network can not be trusted.    the only people still watching cnn are brainwashed liberals and demonrats. http,GRP
69004,@user @user (she is clearly agitated in a defensive stance) shit- what is she doing here,IND
28518,@user then your gonna get bitten,IND
77529,@user woodword's book is slander.  he is nothing but a clown tool!,IND
25305,@user it appears to be paired with a woo-hoo so he must think he is on his way to a brothel.,IND
70652,@user @user @user she is mentally unstable.,IND
60071,@user character and clinton. cartoon maybe,IND
12602,@user @user @user @user @user @user @user @user @user i like that they aren't mincing around with her. i do not understand why she is denying doing porn.,IND
35933,"@user @user @user @user @user fema has contacted the senator and was told.its a tv hit you take them when you can"" he is a liar.  if he had a set... he would put on his big girl panties and tell the truth!""",IND
66631,@user but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room.,GRP
70446,@user @user @user @user @user @user @user @user @user @user so absurd.  the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years.    i wonder if it will ever occur to you that you are the bad guys?  i doubt you have the moral fortitude.,GRP
26783,anyone surprised? @user  closer nation  maga q a non http,OTH
49939,@user not if you are from wisconsin. and it’s a bubbler. and duck duck goose.,IND
23818,"@user good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    but...you said....you said....""",IND
35823,@user then why are you pretending to be something your not???you are a phony and all your lies won't change that!,IND
36639,@user she mocked sjws and the kkk with extremely clever satire. the fact you don’t have a sense of humor or are too stupid to get it is our fault. none of that means you get to denigrate or lie about her or her motives. she is a native american woman and you are a bigoted misogynist.,IND
35959,@user @user @user are you saying he is a turkey chocker  face without mouth ,IND
14239,@user @user such delusional liberals..! so twisted with hate you can't even acknowledge the u.s. airforce..!!,OTH
94756,@user damn what i would do to be able to eat that pussy,IND
90701,@user what exactly is it about willy that anyone with half a brain would consider conservative?   the guy is literally a poster child for liberals,IND
20770,@user @user queen of rap  face with tongue  other bitches can knot relate,IND
77620,@user so a pathological liar is going to give the judge a lecture on credibility because the judge won’t admit to something he didn’t do...   and we are the stupid ones....  flushed face    and liberals have no shame in the ignorance of their elected representatives.,IND
21734,@user bitch,IND
57625,@user if jamie oliver fucks with my £3 meal deals at tesco i’ll kill the cunt,IND
40567,@user i care that he was murdered. i don't care whether he had some weed in his home (like a whole lot of americans do) any more than i'd care if you said he had 100 pairs of socks. he is the victim. you are trying to smear the victim. you are despicable.,IND
32074,@user @user @user i should wash your mouth out with soap for saying that! i have the utmost respect and admiration for our cops. i don’t have that for dirt bags who would break into my home.  gun control means a steady hand not an empty one. go talk to antifa buddies about being a drain,IND
17811,@user he is a russian spy /have received much money from putin.,IND
39492,@user @user well he's a liberal so that explains it. who knows the shooter may be a liberal as far as he knows. liberals are very hateful violent people and must be defeated!,GRP
40412,@user @user no news. orgs. are giving faith goldy the time of day. that's simply wrong. she may not have the experience of the other two useless fools but she cares and she is no one's fool.,GRP
71929,@user i just gave beto $100 and you all should as well.  trump called ted's wife ugly and he is still licking his boots for help with reelection.,IND
35524,was this a threat from @user dangerous democrats maga http,OTH
66579,@user @user liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.,OTH
58523,@user let me borrow yo shit first  rolling on the floor laughing ,IND
66864,@user wow!  that lie'n bitch is at it again. http,IND
24298,@user stfu bitch lol why u salty i’m tryna get twitter famous ya know,IND
43335,@user ...@user is 100% correct and should be applauded for criticizing our inept and corrupt president - not denounced for it.....@user @user @user @user @user @user @user @user @user @user @user @user,GRP
46678,@user you turn a dull tuesday night into a super sexy one! so hot!  fire  fire: fire ,IND
47804,@user but not as despicable as her own.,IND
49896,@user @user without question professor ford is troubled that's being polite. half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. this is obviously a political ploy to deter scotus confirmation. @user maga,IND
52906,@user @user he is both evil and delusional. he eats those high quality paint chips.,IND
12295,@user @user shut that wanker up,IND
20235,@user @user she’ll have a total mental breakdown when he is re-elected!!!!,IND
90247,@user @user @user @user @user @user @user @user @user @user that is about the saddest existence i have ever been privy to reading. sucks to be you man,IND
89795,@user so... did angela hook up with a younger guy so she has someone to wipe her butt when she is 75?,IND
86958,@user good!!! this will surely show us how croocked he is.  face with tears of joy  face_with_tears_of_joy: face with tears of joy ,IND
89600,@user @user @user @user @user @user @user exactly hat @user  are true feckers ! i detest them,GRP
27161,@user sam was singing and they didnt tell her to stop singing and she thanked them!! unbelievable!!! who the hell is she talking to?! it's bad enough when she is talking to one of the houseguest !! but to keep talking to herself! wonder what her family think about her going nuts!,IND
65915,@user  i think he could be called a turncoat  talking out of both sides of his fucking mouth  lindsey graham can no longer be trusted http,IND
82618,@user @user @user @user oh boo you sound so ignorant with your words. we are on top. all of america is on top now. how about stop resisting and try to help make our nation the best for everyone not just liberals. wake up and walk away.,GRP
90997,@user sucks,IND
63005,@user fuckkk  face with tears of joy  face_with_tears_of_joy: i know i seen bitch that’s a slapper lmao,IND
16105,@user @user lefty pope should also! he is not worthy rep for true christian roman catholics!! he failed his flock!,IND
89453,@user and honestly it’s ridiculous.. you are grocery shopping there is no need to be like that,IND
22946,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user little known fact balaam raced donkeys and gambled on races. one day his fastest ass was winning the jerusalem sweepstakes. and right before the finish the ass lost control running over a samaritan and two africans . local antifa saw the whole thing and blamed the fastest ass!,GRP
88594,@user it's been up since sunday night. he is a sloth.,IND
53551,@user @user bitch shut up he building his self esteem,IND
46987,usa uk and probably europe and australia  with their level of intelligence?  weez all stoopid y'all!  maga mega mb ga mcga conservatives patriots celebrities http,GRP
97760,@user when are the republicans going to learn that democrats hate conservatives .vote  thursday,OTH
81704,@user @user isn’t that the amazon bitch from antifa?,IND
57305,@user @user @user @user @user @user @user lie about what? certainly not about you throwing gun control &amp; accountability out the window once an illegal is involved.  and “a” hollering? are you seeing shit and hearing voices?,IND
87737,@user just one more proof that the dnc hates the cosnstitution. this is exactly what pres. washington warned us of in his farwell address. the dnc hates the constitution because it stands in the way of their totalitarain agenda. maybe that i why they push both socialism and gun control,GRP
50771,@user he is a beast,IND
60966,you you have committed so many crimes. no care what a liar has to say. you belong in prison. maga http,IND
45019,@user hahahaha omg these people. they thought they would have their way forever.  idiots,GRP
84724,@user fool on the hill !,IND
98631,@user why of course. liberals reject truth and accept falsehoods. that's why they don't believe kanaugh and believe ellison.,GRP
16691,@user @user the nose distracts from the news,IND
56181,@user thank you ms desanctis! i'm comforted that not all conservatives are letting their ambition blind their conscience. sexual assault/harassment has been a plague on society for centuries - that should not make it a conservative or traditionalist cause!,GRP
96139,@user you are trippin. stop jumping to conclusions.,IND
71104,@user this sicko thinks that others scheme and lie like he and a lot of the liberals do. remember rham emanuel’s famous quote “you never let a serious crisis go to waste”,IND
11020,@user 2 battering rams used by liberals; sex &amp; racism. it is sinister &amp; desperate beneath humanity,OTH
49326,@user apparently this pos doesn’t know that viacom bought out bet. it went from black ownership to white ownership rolling on the floor laughing  rolling_on_the_floor_laughing: rolling on the floor laughing  rolling_on_the_floor_laughing: rolling on the floor laughing  rolling_on_the_floor_laughing:,IND
32558,@user desperation! abuse of my power cause he is losing his mind,OTH
43832,@user gonna be a bitch to re-write this one.,IND
86646,@user i bet she`s had more prick`s than a second-hand pincushion! maga  united kingdom  united_states:,IND
12223,@user ancient homies couldnt have cock cocks fighting because that was literally illegal in athens fjshdhjs,GRP
49452,@user she is fucking delusional,IND
56645,@user @user @user @user isn't it great how liberals ignore the pain of their victims because they are democrats.  it is really sick.,IND
92803,@user no we can’t be losing ab he is literally our whole offense,IND
30471,@user noticed you broke away as soon as the senate started talking about the great 4.2 growth rate and salary increases for employees.  your station is so crooked!!!!   also negative on the conservatives and praise the liberals!  drain the deep state crooked media,GRP
93778,@user you are an absolute dick  pouting face ,IND
65422,@user @user @user well then i guess it's totally fine to attack his character then. my mistake. i mean what right does an american who was the victim of gun violence have to call for stricter gun control laws anyway?,IND
20413,@user @user liberals act out of emotion. not understanding the law. then they go around condemning every1 who does not agree with their completely fucked rational. “nobody believed women for 250 years. so let’s believe all women! oh and screw the legal system! men are pigs. he’s guilty!” smh,GRP
24354,@user he and obama must be copying each other does any democrat have their own thought please !!!,GRP
74402,"@user @user @user it wouldn't surprise me a bit. just like they falsely call conservatives, fascists"" and justify physically attacking them. ""trump's a nazi, kill him!"". it's just a matter of time before they suggest it.""",IND
19061,@user lol they have no idea nazis were socialist. their complete inability to grasp reality is so mind blowing. antifa is no shit calling for a civil war to defend slavery. the confederacy considered lincoln a fascist too... hmmmm.,GRP
86448,"@user @user lol these are exciting times..."" god he is the worst""",OTH
92949,too bad life sucks 4 u schiff4 brains  face with tears of joy  ur going down along wi ur other criminal friends. only red line crossed is the lies u tell. u will never b anything more than the belly of a snake maga trump2020 schiff4 brains http,IND
20729,"@user @user let's focus on kavanaugh. bringing up other cases to make an argument about hypocrisy is irrelevant. it's like saying, let's not investigate this bank robbery because liberals have robbed other banks."" try to focus.""",GRP
29695,proud uncle  smiling face with heart eyes  she is the finest cheerleader of them all blue heart  te amo stinky butt heart with ribbon  http,IND
14179,@user @user what is this shit right over here? i also showed to my polish friends and they are quite triggered,OTH
51118,@user @user @user oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades ...you can have all that shit and let hollywood decide how you feel.,OTH
59703,@user everything is an issue with muslims..go live in another country like iran..,GRP
73118,@user @user @user @user @user i did not admit anything! read my tweet again please! english is my 3rd language but i am rather good at it! antifa are the nazis! they can name them self the messiah they would still be thugs fighting against freedom and free speach! btw free speach is not hate speach. man up!,GRP
26447,@user holder was held in contempt of congress. why isn't in prison for fast and furious? how about for murder?,IND
66845,@user expose these demons violating our constitution with violence &amp; threats to run govt instead of winning at the polls! name them domestic terrorists &amp; jail them all.,GRP
29880,@user  grinning face with sweat  grinning_face_with_sweat: grinning face with sweat  grinning_face_with_sweat: grinning face with sweat  grinning_face_with_sweat: grinning face with sweat  grinning_face_with_sweat: grinning face with sweat  gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government! fuck you!,IND
85882,@user @user @user republicans platform   -take away healthcare -harm the environment  -take away children -take away women’s rights -do not believe in rule of law -voter suppression  -gerrymandering  -take away social security  -no limits to gun control -explodes the budget  voteblue2018,OTH
81239,@user @user then maybe we can talk about the double standards between liberals and conservatives at @user somebody is always a victim.,GRP
66048,q a non @user maga   for those who think nothing is happening! http,IND
98294,rosenstein’s 300 attorneys ‘helped’ vet kavanaugh – now sexual abuse charges http which go back to his highschool days  and can't be proven &amp; named witness denies  pathetic confirm kavanaugh pj net c cot maga kag2018 trump2020 no more progressive liberals,GRP
30337,@user fuck u,IND
67391,@user niggaz buying pussy bitches trying to buy love...,GRP
48534,@user @user i'm also a prohibited possessor thanks to obama and his every soldier has  ptsd crazy administration.can't get life insurance either.still support the nra and the work they do for gun rights.hoping trump will fix the wrongs of labeling veterans as a means to back-door gun control,IND
22086,@user does not suffer fools and has seen enough shit to last nine lives.,OTH
86879,"@user gop, conservatives, evangelicals, traditionalists"" catholics are all hypocrites.""",OTH
80462,@user @user lmao....you suck nfl,OTH
55281,"@user @user @user well, they'll cut out 299 pages and replace it with 1 saying everyone needs more chlorine""  c'mon are you chicken?""",IND
93035,@user believe the woman.  what person would volunteer for the shit show she is about to experience if it weren’t true.  i stand in solidarity with christine blasey ford.,IND
66585,@user all communist democrat socialists are bad humans.,GRP
38143,@user hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  shocking!,IND
31945,*gets period* you are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪,IND
66398,@user thus far the only people getting shot and kicked out of places are conservatives. maga walk away confirm kavanaugh,GRP
