id,tweet,subtask_b
97300,@user @user @user what a joke! she is a gem alright!! she is a racist phony! right along with this racist phony. that thinks she will follow me from her second account. and block me. because i speak the truth. i could care less about follower's. like it's a big party. i care that they discriminate http,TIN
14808,@user @user @user may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens. don’t believe all the shit that goes on in your head.,TIN
33322,@user @user just looked up his work history he is listed on the board of leading age services aust (lasa) and comes from medicare local alliance...what ever the hell that is,UNT
87300,@user cause who bitches be playing with  loudly crying face  loudly_crying_face: loudly crying face  loudly_crying_face: god aint give me the gift for nothing,TIN
80497,@user coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's,TIN
97277,@user getting scared ugly man?,TIN
95200,@user @user @user @user @user bitch.. http,UNT
77769,&amp; terroism &amp; starvation &amp; flint &amp; poverty &amp; climate change &amp; global warming &amp; sex trafficking &amp; bullying &amp; body shaming &amp; police brutality &amp; feminism &amp; gun control &amp; marches &amp; protests,TIN
62107,@user yea your the bitch on the right getting smacked http,UNT
33096,@user hahaha big thighs is not going to make it,TIN
81470,"maga christine ford trump2020 t cot c cot america first patriots @user  brett kavanaugh had this to say about bill clinton during whitewater:   it's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   indeed. http",TIN
20322,"maga people are very low iq. gdp growth"" means literally nothing. in no way does this translate to higher income for white familes or individuals. all that billions goes to companies or government.   and what jobs did he create? labour which pays less than living wage lmao? http",TIN
60130,@user bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,TIN
54559,a bitch built like that could beat my ass all she wants http,TIN
14285,@user @user very pathetic man !,TIN
42133,@user @user @user @user @user @user you must be talking about hateful conservatives.,TIN
18834,@user @user thats correct!!! maga,TIN
38043,@user @user @user this leftist is what is wrong in liberal colleges. more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @user  @user  @user,TIN
76709,"@user @user @user @user this is great! mark the great one"" levin and candace ""the great"" owens together! this team is unbeatable! they just sent liberals into a frenzy again! a whole block of liberal voters just had their heads explode! and...sadly, alyssa milano just wet her pants again! great team!""",TIN
22728,@user strata data a i data hairball: @user tdavis touring the application of cognitive and machine learning techniques to speed governance of data http,TIN
11640,@user @user @user @user i wasn't proposing scare tactics. i really meant what i said. trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics. think about it.,TIN
47009,@user @user @user @user only a liberal would support a liberal that spent a million to get liberals elected to office. lib fail! http,TIN
97936,@user it’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘liberals think all criminals should be free.’  it reveals a pretty brutalist and impenetrable mind.,TIN
12531,@user what the fuck game are you watching?,UNT
72024,@user why? why are liberals so trashy?,TIN
98547,@user yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i don’t think he is a big fan of her policies he’s not that stupid please,TIN
98382,@user if you go by anything other than he or she you are fucked in the head.,TIN
71577,@user all you need to know is he is empty inside,TIN
17391,@user the liberals are mentally unstable!!,TIN
34443,@user @user who authorized a search warrant of mr jean home?  racist what about her drug test. this is premediated murder. he will not be slandered. he is the victim.,TIN
22185,@user @user @user i have heard he is making waves,TIN
77089,thursday thoughts- fuck liberals. forever.,TIN
79972,@user once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the 2a. criminal *don't* care about gun laws.,TIN
30085,@user @user mxm nigger thinks we give a fuck http,TIN
95773,@user @user she is a fake. vote her out. now she wants sympathy.,TIN
51053,10kids from different women from this american jobless men? nigerian men you are the bomb!!!,TIN
14131,@user this russian agent is a disgrace. hey old creep @user you are going to die in prison. you and trump sold america to the russians and it’s time you do the time for your years of crimes. scumbag.,TIN
33709,@user what insanely ridiculous bullshit.,UNT
53995,@user we shouldn’t be surprised. these same pigs worked with neonazis to unmask antifa protestors. and the local coverage by shit journos like @user didn’t cover that at all. we had to rely on @user for investigative coverage http,TIN
82171,@user @user because 45% of americans are too lazy to vote.  non-voters skew liberal. and too many liberals who do vote throw their vote away on 3rd party losers. next question?,TIN
50936,"@user @user i'm sure he doesn't call his gated community's private security firm bull connors"" though. it's funny: now liberals love privatization of police!""",TIN
97580,@user @user wonder how many children he molested,TIN
54991,@user @user oh you are in england?  your views on gun control stopped mattering in 1776.,TIN
55051,@user @user @user @user @user @user this is the antifa party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. nope.,TIN
23159,@user ouch!,UNT
58548,@user @user wonder if he apologized to diamond and silk for calling them a “minstrel show?”  he should have been fired but there he is making faces.,TIN
41277,@user which is why it’s awesome that kavanaugh didn’t shake that gun control dads hand.  sorry for kid was killed by a gun but it’s not the future judges fault it happened...... omg white people in cities are silly,TIN
51592,@user john podesta is a spirit cooking pedo. here's a photo of him and valerie jarrett in a rather compromising situation.  maga q a non drain the deep state drain the swamp http,TIN
56068,@user i love the way this pisses off liberals. http,TIN
88585,@user @user @user my auto correct gggrrr she is a *crazy witch*,TIN
14234,"@user @user when i turned the speech on it sounded to me like liberals becoming another nasty party"" with his personal attacks on various individuals.""",TIN
97329,@user another negative democrat who refuses to disappear!,TIN
85409,.@user as my elected mp could you please explain why @user is still promoting ideas that the eu have already rejected? we've 6 months to go and nothing appears to be moving onward. @user are like the blind leading the blind br exit shambles br exit means br exit http,TIN
14118,@user so she can’t be effected by the radiation but killed. i hope he mentions lady gaga witch. since she is the only known immortal witch and supreme,TIN
63792,(2020 election season)  trump: my dick is the most magnificent dick. just tremendous.   leftists: prove it you russian puppet!  trump: *whips dick out in fit of senility*  conservatives: *vote trump to victory*,TIN
82293,@user @user @user @user interesting when demoncraps aren't even inventive enough to create their own cartoons.  this is originally put out by republicans - liberals are the koolaide drinkers and always have been. liberals are also the scum of the earth and prove it daily through their lies,TIN
61533,@user ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him,TIN
40857,@user @user @user @user he’s dead. so you are a necrophiliac as well? good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...change your twitter handle to dumbaf not even ish face with rolling eyes  face_with_rolling_eyes: face with rolling eyes ,TIN
23228,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user they get testy and decide you're a paid shill"" a lot, if you end up hanging around qanon you'll get used to it.""",TIN
78473,@user @user @user trump is a very sick man. he is toxic and mean spirited.,TIN
30890,va10 voters know @user is the right side of the gun issue. gun control or gun rights? the answer may help determine whether nra-financed rep. comstock wins reelection http,TIN
92935,@user osha e terry thug life criminal behaved as an ordinary disposable criminal. maga maga2020 magarallyrules texas police,TIN
86626,@user @user she is full of bunk.,TIN
18702,@user hell did they boycott mcenroe.....this is too much!!,TIN
27045,anti-antifa is balls,UNT
78567,@user im going hardcore bitch,TIN
80107,@user i used to do signifing monkey by heart. played it for the wife and she is like what the hell?,TIN
84294,@user i think she is the one mad.  she didnt like being called out so she is trying to make them bully me.  grinning squinting face ,TIN
53037,@user @user @user so she is disgusting to you because she is a rangers fan! you are disgusting to me because you support breaking up the union!  proud to be british  united kingdom ,TIN
10605,@user they should. hopefully voters will realise that they could have ended this shitshow well before the midterms.,TIN
93419,@user 2018 charts she is. overall fuck no. cardi got ways to go to catch niki,UNT
93280,@user @user @user i think i missed a few replies here (im on a conference call) but most of the anti jihadi muslim vets i know would disagree with gun control. so this seems odd...?,TIN
97831,@user look at all these racist white liberals freaking out because i said tom arnold has white privileged.,TIN
82366,@user hubby rushed me *shakes fist* will flick a pic thru this evening when i feed em again. by the way he is still the boss,TIN
70315,@user @user omg !!!! really !!! frank oz ... liberals ruins everything ... de fund pbs..,TIN
83457,@user @user wow!!! never thought i'd see the left actually admitting they want to shut down free speech unless it's their own. at least they are admitting they are the  facist. after all they did create the 2 most facist groups...antifa and kkk.,TIN
14877,@user rip lmao who knows  face with tears of joy  that's why i'm trying so hard not to expose my shits since they can't never relate anyway,TIN
63762,@user bullshit!!!,UNT
78739,@user i feel pretty fucked then cuz i started out fine,UNT
33095,@user awful,TIN
50390,@user i don't know anything about the kkk although i believe the democrats fund them like they always did.  i think the dems main terror group these days is antifa.,TIN
38444,@user @user @user she is absolutely useless. everyone knows it except for her and the media.,TIN
77647,@user does anyone care what that dirtbag says???,TIN
30426,@user @user not a snowballs chance in hell dimwit dem. start taking losing like a man.....err...like a....uhm? whatever you identify as today. we will maga not tired of winning see you in november for the redwaverising2018 you can't stop scotus k avena ugh,TIN
38806,@user hopefully your obesity catches up with you by then,TIN
66497,@user @user my stoned wheat crackers! where the hell did they put the stoned wheat crackers?,UNT
95987,ford nation on poli conservatives conservative on pc  just because you can doesn't mean you should. great power comes with great responsibility. by invoking art. 33 and overriding our judicial processes you're overriding our democracy.  http,UNT
36795,@user       thank you for your fortitude and perseverance. please give mcconnell a kick in the butt from some of us conservatives.,TIN
21223,@user yessssshhhhh who else call you shitgull if it were not me or ryme  kissing face with closed eyes ,TIN
25469,@user she’s one of those ‘kooky’ liberals.,TIN
74815,@user like if you didn’t get fired from espn,TIN
67895,@user those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. send your kid to one of those schools and we might get some action on gun control. hypocrite.,TIN
99912,@user @user poor sad liberals. no hope for them.,TIN
69106,i got more common sense than all of my followers  :),TIN
47490,@user cbs sez ceo leslie moonves' out on his ass after several allegations he was chasing ass... coo joseph iannello will be interim ceo until somebody accuses him of the same thing... this 'shit' never ends... ooops...,TIN
77519,@user even if the devil did make every single one of those priests rape children... why does the pope refuse to condemn it? why didn't he remove from leadership the rapist brought to him?,TIN
20232,@user i didn’t tweet this lol i needa get my twitter off this shit,TIN
32990,@user she is.  ur screwed.  trump owns scotus and he will exact a wrath upon enemies after the midterms,TIN
64626,@user then haul your fat ass in harms way you druggie!!!,TIN
39729,@user @user anyone can say or write anything about themselves. suppose tomorrow she says that she is a prophet and human race needs to follow her.  what does that tell about her ?  once i see someone as useless moron i stop giving them any attention. you do the same brother. she is nobody.,TIN
46114,"@user its so cool that the blind idiot god"" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred""",UNT
93056,@user @user he is delirious!,TIN
32139,@user rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol http,TIN
59690,alert: candace owens was just attacked by antifa http,TIN
23311,@user another dumbass democrat. one thing you have to say about this president is he’s not lazy. another bullshit story as usual,TIN
33600,@user @user when robyn posts a selfie the world stops for a moment to appreciate it,TIN
79122,@user @user @user the democrats are so desperate all those ppl threatening sen collins are from ca. they will do anything to delay or halt confirmation and @user re-election is on the line she is desperate. the ppl &amp; gop are quite aware of what is going on.,TIN
58576,@user so it moves forward. damn the facts as long as you keep up the narrative! the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals,TIN
70525,@user poor baby.  this is why you and your entire network can not be trusted.    the only people still watching cnn are brainwashed liberals and demonrats. http,TIN
69004,@user @user (she is clearly agitated in a defensive stance) shit- what is she doing here,TIN
28518,@user then your gonna get bitten,TIN
77529,@user woodword's book is slander.  he is nothing but a clown tool!,TIN
42005,@user how many more??? this country must address sensible gun control! this is more than enough!!!  vote blue! get this garbage cleaned off our streets!,UNT
25305,@user it appears to be paired with a woo-hoo so he must think he is on his way to a brothel.,TIN
70652,@user @user @user she is mentally unstable.,TIN
60071,@user character and clinton. cartoon maybe,TIN
12602,@user @user @user @user @user @user @user @user @user i like that they aren't mincing around with her. i do not understand why she is denying doing porn.,TIN
35933,"@user @user @user @user @user fema has contacted the senator and was told.its a tv hit you take them when you can"" he is a liar.  if he had a set... he would put on his big girl panties and tell the truth!""",TIN
66631,@user but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room.,TIN
70446,@user @user @user @user @user @user @user @user @user @user so absurd.  the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years.    i wonder if it will ever occur to you that you are the bad guys?  i doubt you have the moral fortitude.,TIN
26783,anyone surprised? @user  closer nation  maga q a non http,TIN
49939,@user not if you are from wisconsin. and it’s a bubbler. and duck duck goose.,TIN
23818,"@user good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    but...you said....you said....""",TIN
35823,@user then why are you pretending to be something your not???you are a phony and all your lies won't change that!,TIN
36639,@user she mocked sjws and the kkk with extremely clever satire. the fact you don’t have a sense of humor or are too stupid to get it is our fault. none of that means you get to denigrate or lie about her or her motives. she is a native american woman and you are a bigoted misogynist.,TIN
35959,@user @user @user are you saying he is a turkey chocker  face without mouth ,TIN
14239,@user @user such delusional liberals..! so twisted with hate you can't even acknowledge the u.s. airforce..!!,TIN
34178,@user @user she is better than all this shit. she is better than anything.  red heart ,UNT
94756,@user damn what i would do to be able to eat that pussy,TIN
90701,@user what exactly is it about willy that anyone with half a brain would consider conservative?   the guy is literally a poster child for liberals,TIN
20770,@user @user queen of rap  face with tongue  other bitches can knot relate,TIN
66373,@user i would be worse than her licking that ass,UNT
77620,@user so a pathological liar is going to give the judge a lecture on credibility because the judge won’t admit to something he didn’t do...   and we are the stupid ones....  flushed face    and liberals have no shame in the ignorance of their elected representatives.,TIN
83576,@user @user @user we have a stupid problem. conservatives don’t just hate studies by smart people  (smart people suck) that show data (data schmata) and facts (fake news) but just being near one can turn somebody into a nitwit. cdn poli,UNT
21734,@user bitch,TIN
57625,@user if jamie oliver fucks with my £3 meal deals at tesco i’ll kill the cunt,TIN
40567,@user i care that he was murdered. i don't care whether he had some weed in his home (like a whole lot of americans do) any more than i'd care if you said he had 100 pairs of socks. he is the victim. you are trying to smear the victim. you are despicable.,TIN
32074,@user @user @user i should wash your mouth out with soap for saying that! i have the utmost respect and admiration for our cops. i don’t have that for dirt bags who would break into my home.  gun control means a steady hand not an empty one. go talk to antifa buddies about being a drain,TIN
17811,@user he is a russian spy /have received much money from putin.,TIN
39492,@user @user well he's a liberal so that explains it. who knows the shooter may be a liberal as far as he knows. liberals are very hateful violent people and must be defeated!,TIN
40412,@user @user no news. orgs. are giving faith goldy the time of day. that's simply wrong. she may not have the experience of the other two useless fools but she cares and she is no one's fool.,TIN
71929,@user i just gave beto $100 and you all should as well.  trump called ted's wife ugly and he is still licking his boots for help with reelection.,TIN
35524,was this a threat from @user dangerous democrats maga http,TIN
66579,@user @user liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  they imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.,TIN
58523,@user let me borrow yo shit first  rolling on the floor laughing ,TIN
66864,@user wow!  that lie'n bitch is at it again. http,TIN
24298,@user stfu bitch lol why u salty i’m tryna get twitter famous ya know,TIN
43335,@user ...@user is 100% correct and should be applauded for criticizing our inept and corrupt president - not denounced for it.....@user @user @user @user @user @user @user @user @user @user @user @user,TIN
46678,@user you turn a dull tuesday night into a super sexy one! so hot!  fire  fire: fire ,TIN
47804,@user but not as despicable as her own.,TIN
49896,@user @user without question professor ford is troubled that's being polite. half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. this is obviously a political ploy to deter scotus confirmation. @user maga,TIN
52906,@user @user he is both evil and delusional. he eats those high quality paint chips.,TIN
12295,@user @user shut that wanker up,TIN
36699,@user fuck off,UNT
20235,@user @user she’ll have a total mental breakdown when he is re-elected!!!!,TIN
90247,@user @user @user @user @user @user @user @user @user @user that is about the saddest existence i have ever been privy to reading. sucks to be you man,TIN
89795,@user so... did angela hook up with a younger guy so she has someone to wipe her butt when she is 75?,TIN
86958,@user good!!! this will surely show us how croocked he is.  face with tears of joy  face_with_tears_of_joy: face with tears of joy ,TIN
89600,@user @user @user @user @user @user @user exactly hat @user  are true feckers ! i detest them,TIN
67770,@user still waiting for mine fat,UNT
27161,@user sam was singing and they didnt tell her to stop singing and she thanked them!! unbelievable!!! who the hell is she talking to?! it's bad enough when she is talking to one of the houseguest !! but to keep talking to herself! wonder what her family think about her going nuts!,TIN
65915,@user  i think he could be called a turncoat  talking out of both sides of his fucking mouth  lindsey graham can no longer be trusted http,TIN
82618,@user @user @user @user oh boo you sound so ignorant with your words. we are on top. all of america is on top now. how about stop resisting and try to help make our nation the best for everyone not just liberals. wake up and walk away.,TIN
90997,@user sucks,TIN
63005,@user fuckkk  face with tears of joy  face_with_tears_of_joy: i know i seen bitch that’s a slapper lmao,TIN
16105,@user @user lefty pope should also! he is not worthy rep for true christian roman catholics!! he failed his flock!,TIN
89453,@user and honestly it’s ridiculous.. you are grocery shopping there is no need to be like that,TIN
22946,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user little known fact balaam raced donkeys and gambled on races. one day his fastest ass was winning the jerusalem sweepstakes. and right before the finish the ass lost control running over a samaritan and two africans . local antifa saw the whole thing and blamed the fastest ass!,TIN
75611,@user @user @user if she were a true krishn bhakt she wouldn't even care about presence or absence of such laws... she would be above such issues... a typical chandigarh mentality of one up manship she is caged in... call her anything but krishn bhakt.. like who cares about what she is doing ...,UNT
88594,@user it's been up since sunday night. he is a sloth.,TIN
40317,@user @user some things never change! in 1991 scotus clarence thomas’s high tech lynching by @user @user &amp; @user  maga fight back against these lies! confirm kavanaugh  @user @user @user @user djt  kavanaugh me too  http,UNT
53551,@user @user bitch shut up he building his self esteem,TIN
24797,@user @user @user @user @user this hand signal is used by ignorant people as a signal of white supremacy and by evil people who get a lot of satisfaction in the idea of pissing off liberals.  we should ignore both because displays of ignorance and hatefulness don’t deserve our time and attention.,UNT
46987,usa uk and probably europe and australia  with their level of intelligence?  weez all stoopid y'all!  maga mega mb ga mcga conservatives patriots celebrities http,TIN
97760,@user when are the republicans going to learn that democrats hate conservatives .vote  thursday,TIN
81704,@user @user isn’t that the amazon bitch from antifa?,TIN
57305,@user @user @user @user @user @user @user lie about what? certainly not about you throwing gun control &amp; accountability out the window once an illegal is involved.  and “a” hollering? are you seeing shit and hearing voices?,TIN
87737,@user just one more proof that the dnc hates the cosnstitution. this is exactly what pres. washington warned us of in his farwell address. the dnc hates the constitution because it stands in the way of their totalitarain agenda. maybe that i why they push both socialism and gun control,TIN
50771,@user he is a beast,TIN
60966,you you have committed so many crimes. no care what a liar has to say. you belong in prison. maga http,TIN
45019,@user hahahaha omg these people. they thought they would have their way forever.  idiots,TIN
84724,@user fool on the hill !,TIN
98631,@user why of course. liberals reject truth and accept falsehoods. that's why they don't believe kanaugh and believe ellison.,TIN
16691,@user @user the nose distracts from the news,TIN
56181,@user thank you ms desanctis! i'm comforted that not all conservatives are letting their ambition blind their conscience. sexual assault/harassment has been a plague on society for centuries - that should not make it a conservative or traditionalist cause!,TIN
96139,@user you are trippin. stop jumping to conclusions.,TIN
71104,@user this sicko thinks that others scheme and lie like he and a lot of the liberals do. remember rham emanuel’s famous quote “you never let a serious crisis go to waste”,TIN
11020,@user 2 battering rams used by liberals; sex &amp; racism. it is sinister &amp; desperate beneath humanity,TIN
49326,@user apparently this pos doesn’t know that viacom bought out bet. it went from black ownership to white ownership rolling on the floor laughing  rolling_on_the_floor_laughing: rolling on the floor laughing  rolling_on_the_floor_laughing: rolling on the floor laughing  rolling_on_the_floor_laughing:,TIN
38533,"@user has your network/organization put out a report on actress li bingbing???  some reports say she is missing"", other reports say the chinese government has abducted her????   what the heck is going on????""",UNT
32558,@user desperation! abuse of my power cause he is losing his mind,TIN
43832,@user gonna be a bitch to re-write this one.,TIN
86646,@user i bet she`s had more prick`s than a second-hand pincushion! maga  united kingdom  united_states:,TIN
12223,@user ancient homies couldnt have cock cocks fighting because that was literally illegal in athens fjshdhjs,TIN
49452,@user she is fucking delusional,TIN
56645,@user @user @user @user isn't it great how liberals ignore the pain of their victims because they are democrats.  it is really sick.,TIN
92803,@user no we can’t be losing ab he is literally our whole offense,TIN
30471,@user noticed you broke away as soon as the senate started talking about the great 4.2 growth rate and salary increases for employees.  your station is so crooked!!!!   also negative on the conservatives and praise the liberals!  drain the deep state crooked media,TIN
93778,@user you are an absolute dick  pouting face ,TIN
65422,@user @user @user well then i guess it's totally fine to attack his character then. my mistake. i mean what right does an american who was the victim of gun violence have to call for stricter gun control laws anyway?,TIN
20413,@user @user liberals act out of emotion. not understanding the law. then they go around condemning every1 who does not agree with their completely fucked rational. “nobody believed women for 250 years. so let’s believe all women! oh and screw the legal system! men are pigs. he’s guilty!” smh,TIN
24354,@user he and obama must be copying each other does any democrat have their own thought please !!!,TIN
74402,"@user @user @user it wouldn't surprise me a bit. just like they falsely call conservatives, fascists"" and justify physically attacking them. ""trump's a nazi, kill him!"". it's just a matter of time before they suggest it.""",TIN
19061,@user lol they have no idea nazis were socialist. their complete inability to grasp reality is so mind blowing. antifa is no shit calling for a civil war to defend slavery. the confederacy considered lincoln a fascist too... hmmmm.,TIN
