id,tweet,subtask_a
66596,3. nina  one of the reasons i didn't read this book for so long was because i was so worried about her character. i should've trusted everyone. nina is a goddamn goddess i would die for a thousand times over. she is big and bold and lovely and perfect. her arc. is. perfect.,NOT
70999,.@user @user @user @user @user  please vote no on kavanaugh. he is not fit for scotus and allegations about women and shady financials should disqualify him.    rule of law matters. me too country over party withdraw kavanaugh  stop kavanaugh,NOT
36026,"@user @user ppl who say i'm not racist"" are racist. you are a racist. repeat after me""",NOT
29439,@user kathy the patriot statue of liberty   you have to love our great president trump!!!  a spine of u.s. steel!! changing it! on trade &amp; everything for americans!! america first usa maga leadership &amp; respect economy jobs peace thru strength god bless trump &amp; the usa      grinning face   statue of liberty  statue of liberty  statue of liberty   grinning face ,NOT
74477,@user wow you liberals really don’t have a sense of humor. face with rolling eyes ,NOT
49845,@user i'm so fucking ready,NOT
32305,@user holy moly!! if the catholic people haven't been awakened by this ..... false prophet  lunatic,NOT
77243,@user lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT
73205,@user @user @user what a surprise.... same as antifa. blm and so on and so on. soros is americas worst enemy in history. he believes the only way to take down the usa is from withing. and hes right. but it's not gunna happen.,NOT
47311,@user me too! her wedding was the best! she is very pretty!,NOT
48553,@user @user no conflict here—don’t look at this.  soros involved in violent left agenda of antifa also.,NOT
75689,@user @user @user http any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes,NOT
84102,4 out of 10 british people are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,OFF
10607,gun control advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a http,NOT
43913,@user @user hi there! we love what a huge fan of camila mendes you are! would it be alright if we used your tweet about her in our promotional material?,NOT
98992,@user fuck off,OFF
92056,@user certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities.  i’d like to know if the black population that suffers the most shares her opinion,NOT
33853,"@user @user the prison system is so fucked.  why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing""""",OFF
75215,@user @user she is useless.  attempts to do the right thing but never follows through.,OFF
96218,walk away liberals......your party is poison. http,NOT
57013,@user grateful trump doesn’t have a dog in the white house. he is a cruel man.,OFF
20883,@user you are lying. stick with the facts. we pay more than that now.,NOT
74831,@user trump kicks dem butt - its so fun.,OFF
53264,@user @user @user he is dumb and dumber all in one president.  it's a two for one.,OFF
28204,toxic tory minister @user attempted to expense £50 charity donation! it's what  @user do!! @user tories must go dissolve the union  http,NOT
42024,@user ur so straight forword man ok hand  i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior green heart  artist love for man mar ziya an  cowboy hat face  thumbs_up:,NOT
84664,@user and this from the clown that should be in prison?,OFF
54842,@user @user @user @user did twitter silence alex jones in retaliation of him asking twitter jack questions  @user @user @user @user http,NOT
48995,@user thats because you are an old man.,OFF
47153,@user @user @user they are obstructionists. anti-american. pharisees. ask them what they are running on and you get nothing. maga!,OFF
76826,"@user @user no you're not..you're here 2 represent the alinskyite orwellian leftist tool&amp;fool view on things..like 99.9% of the marxists&amp;antifa similar 2u..psst! and b4u use the words fascist or fascism again go ahead &amp; read d'souza's book the big lie""..right now u know squat about either..""",NOT
27645,"@user i do remember. :( but somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT
64429,@user i mean it worked for gun control right? http,OFF
20943,@user i think the last thing on the wh or trump's mind is april ryan. she needs to stop flattering herself. she's not as important as she thinks she is.,NOT
78064,@user principled conservatives are hypo crickets,NOT
14122,@user @user @user @user @user @user @user @user @user @user @user @user @user don't forget @user &amp; democrat backed antifa,NOT
72353,@user she is a beautiful person to teach values to her kids. teaching them they are royalty but keep to keep it from going to their heads. stay real  red heart ,NOT
39051,@user bring out his antifa criminal son to campaign for him,NOT
54546,@user @user i didn’t watch and will not watch @user watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday.,NOT
50759,a tear is made of 1% water and 99% feelings.,NOT
75992,"@user @user trump addresses gun control representing the nra.  i will not let you down"" he says. http",NOT
45068,@user she is drinking so much koolaid she’s bloated.,OFF
17259,@user holder needs to be prosecuted,NOT
95225,@user but... but... both players were women. and both were women of color!,NOT
84667,@user @user @user @user the institution only let her tweet when she behaves. she is a window licker!!!!,OFF
14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT
23784,@user well...? http,NOT
93119,wtc this is a threat!!! ..@user maga q a non wake up america http,OFF
30115,"@user it's easily digestible content.   there's no need for nuance or to even understand the story.  they can show a picture of an antifa"" and get the base level emotional response their content requires in order to be profitable.""",NOT
69281,@user @user try looking for plain old democrats.  the liberals are the ones which you can’t have a conversation with.,NOT
15322,@user great news! old moonbeam just went into a coma!  face with tears of joy ,NOT
75089,@user omg he is so extra ily,NOT
21379,@user @user @user please call trump out for what he is...a narcissistic sociopath!,OFF
43133,@user @user unfortunately in america a system like that would be called racist. liberals believe exams are racist against minority groups.,NOT
52102,@user i know! she is still alive....but wondering if her career was railroaded? odd! loved her...especially that day!,NOT
59537,@user @user guy you are always present...bet why? lol,NOT
44209,@user @user what a baby! http,NOT
96664,@user you are very persuasive fam,NOT
12559,@user that's nothing new she was going to vote no anyway.....we will vote no to liberals in november.... http,NOT
61914,@user burt. a cool dude.,NOT
32317,maga! if you are all in for trump follow me and i will follow back.,NOT
94767,@user thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT
64835,@user kind of like what trump does all the time huh?,NOT
41353,@user because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT
52252,@user fuck em,OFF
91001,@user good move....he is the big loser,OFF
18495,@user let's get to the bottom of this! dm me your zipcode and i'll check it out.  we have your back and we will make sure you are enjoying the best that tv has to offer asap! *nevinbruce,NOT
76680,@user @user @user @user for the record i know doug jones personally and he is only a sen. bc we had no other credible choice. he won’t be at the next election.,NOT
88013,@user the president’s feelings are totally opposite of cnn’s feelings. so what does that say about cnn? they’re all liberals.,NOT
66349,"@user it's literally a narrative that is on par with nazis punch, antifa punch, they are two sides of the same coin."" noooooooo one of these groups wants to exterminate or deport all poc and jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",OFF
80561,@user @user there are many dumb arguments for gun control but this may be the dumbest and most common.,OFF
16052,@user she is idk what's going on,NOT
49996,@user @user yall need to chill he is having a really abysmal 2nd half. rizzo had an abysmal 1st half. its baseball it happens. does he have things he still needs to work on yes. has the power numbers dropped yes..... but he could bounce back at anytime. http,NOT
77086,@user dude you are old!!! lmao. ps: go pack go!!!,NOT
10972,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's why trump supporters can't even wear a hat without being abused. if they meet the animals on the left attack them. antifa is a branch of the communist-socialist-nazis democrat party.,NOT
69160,@user the laughs i’ve gotten from you are enough.  relieved face ,NOT
28380,@user @user @user well?,NOT
40252,@user @user @user first of all— they don’t even have pizza at panera,NOT
39907,@user @user @user please don't kill me. antifa on the other hand...,OFF
16164,@user did you see shanahan say spoon was not 100% healthy this game? obviously no excuses if you’re out there but maybe it’s not the “all is doom” sort of thing it seemed during the game. maybe he is still pretty good.,NOT
52824,@user good girl @user,NOT
77294,@user @user she is an ugly black hearted troll http,OFF
13420,@user @user @user you are clearly not a pokemon master! i have almost 400 in rare candy alone. over 150 legacy moveset pokemon. it just all depends on what you like to keep as collection pieces and what you value in the game.,NOT
16940,@user dont believe the hype.,OFF
83816,@user @user @user @user @user @user @user @user @user @user @user @user @user followed all new - maga.  please follow back.,NOT
99156,protests reported in sunderland  except these are football fan and one flag says west brom on it?!  getting worse now even as i type?!  maga mega mb ga mcga conservatives patriots muslims far left leftists (doomed to lose but do not realises it) civil war soon? http,NOT
11255,"@user liberals would still vote for him. they'll claim his comments were taken out of context and that he is still a man of integrity.""""",NOT
28841,@user @user we have been saved from you! maga!,OFF
79060,@user you are bringing up honor and decency? with that yoyo in the picture? that's rich.,NOT
71682,@user good riddance.,NOT
17577,@user she is a goddess,NOT
27503,"@user omg xd the worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT
59998,"@user you can probably imagine all the sjw snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  conservatives are now the ruskies of the 21st century.""",OFF
81119,@user @user i see may in the same light as yourself. even the last election was about her and not the conservatives.  a split is coming to the tory partyvery soon!,NOT
28812,@user this all i get  crying face  damn these haters deleting you ig for no reason... http,OFF
84131,@user do you think canadian liberals will actually blame trudeau if he costs them this? or as per standard push it off on us?,NOT
23179,@user    you warned everyone about josh gordon the last 4 months on a daily basis.  i'm sure you are as shocked as i am of what transpired today.,NOT
28601,@user @user @user why can't liberals read??????  read it again http,NOT
64776,@user sjshsj thats my job bitch,OFF
95712,@user do they discuss haiti?,NOT
69972,@user @user @user what part of no collusion don't you get??? this is why you are a dumocrat,OFF
37115,@user he is very skilled face with tears of joy  face_with_tears_of_joy:,NOT
80696,@user you are amazing  yellow heart  yellow_heart: yellow heart ,NOT
68163,@user fist pump was for the troops.,NOT
96789,"@user if the reason for farakans illegal values are because he is black or muslim, that would be a reason to detest him. i believe his illegal values are simply a result of bad character, like his supporters!""",OFF
68629,@user let the leftist democrats riot in the streets with their antifa counterparts.,OFF
66109,@user i thought canada had strict gun control.  help me understand what is happening.,NOT
19419,@user they don’t want you following people because they don’t like conservatives! sickening  how biased twitter’s management is. twitter left bias,NOT
32942,@user he is doing life tho expressionless face ,NOT
74285,@user it's so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them - which as you know is so false. how can the word spread even more to those who need to know? maga naacp,NOT
77319,@user @user antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached.,OFF
30517,@user @user @user have you seen or listened to your antifa pals?,NOT
69077,@user @user in case of antifa take a little bat or something. good for you- more of should do that kind of thing.,NOT
67758,@user your titles scare me a little bit. ;-),NOT
35944,@user &gt;eradicating hiv and malaria in the middle of africa  good bloody luck,NOT
48223,@user @user the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade. able g cdn poli,NOT
47168,@user and who seems to be getting things done.,NOT
53947,i added a video to a @user playlist http combat mon frere vs ismael et maga assassin vs david le boxer (yfc 2),NOT
49504,@user so has the law changed...you just make an allegation now days and your guilty until proven innocent. liberals are mentally ill!,OFF
66291,@user straight up different.  thank joe biden for that one.  i also wonder the outcome if her name had been antifa hill.,NOT
31229,@user this game sucks donkey balls,OFF
75850,@user yo for real you are gorgeous,NOT
88546,@user absolutely should be a nail in the coffin.... for hilliary,OFF
29241,@user @user i hope he gets on twitter so i can tell him how amazing he is.  red heart  grinning_face_with_smiling_eyes:,NOT
19842,@user who are “they” gun control has been tried and is a proven failure. this is why people don’t vote democrat. they refuse to admit reality. gun control doesn’t work.,NOT
69232,@user so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about.  just because california has the biggest population does not mean the u.s. shares in their values.  get a clue hillary.,NOT
36471,@user @user doesn't he partly fund antifa?,NOT
32897,@user he is a dumbass !!!!!,OFF
62072,@user @user @user @user @user @user @user @user @user @user @user ...and levi strauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? http,OFF
95444,@user at this point in time... i don't think pres. trump gives a sh*t... and neither do i! lol http,OFF
51172,@user @user o.k. conservatives get to the polls. vote red.,NOT
62481,@user donnie jr. you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic. shame on you and your family. justice will prevail,OFF
71895,"a harvard/harris poll conducted this year found that 48 percent of black americans said they would like to see between only one and 250,000 legal immigrants brought to the u.s. a year."" http maga t cot""",NOT
78366,@user any doubt that @user have officially become the national socialist american workers party is gone. with ppl like those on @user and @user acting as der sturmer and antifa as their einsatzgruppen/waffen ss detachment.,NOT
39021,@user oh my carmen. he is so fricking cute,OFF
68840,@user chelsea is as crazy as her mother,OFF
96837,@user it's time the conservatives binned boris and sent 'lyin lynton back to australia.,NOT
51815,@user @user @user the 2015 manifesto promised me my vote back. so where is it? you think brexit would have gone through if all the brits in the eu27 had been allowed to vote? the referendum was gerrymandered.,NOT
62023,"@user   the metoo movement must be an extension of antifa and is a  complete joke! if this movement wasn't selective, joe biden would be in court for fonding girls on camera""! http",NOT
10253,@user @user you are awesome! thank you. you give humanity hope!,NOT
21367,@user goober,NOT
33797,@user another uninformed,NOT
11160,@user i forgot he is their foster child!,NOT
32916,"@user and the brainless dems wants us to believe that he doesn't have the majority. liberals is just like their leaders"" the corrupts obama and crooked hillary both are real bad losers maga trump""",OFF
47427,@user no fucking way he said this!,NOT
87052,@user @user such supposedly smart people didn't think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way.,NOT
29556,@user i'm not surprised. it takes a sick woman to make this type of accusations. the kind you can only find on the far left. liberals are praying that the really weak members of the gop like collins and flake will pull back their support.,NOT
18547,@user @user california gun control is direct result of white people scared of black panthers using their right to bear arms. nra had no problem with that gun control!,OFF
32688,@user @user @user @user @user @user @user @user @user or where 25 oct 2005 brazil citizens overwhelming voted “no” on the government implementing strict gun control by a factor of 63.9%  and the brazilian government still violates that referendum everyday as brazilians are murdered w/zero effective method of self defense,NOT
57850,"...if we claim to be without sin, we deceive ourselves and the truth is not in us. if we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 john 1 5 9)""",NOT
82607,@user @user and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   but yet they want to have stronger gun control.   idiots!   face with raised eyebrow   our wonderful media has to hype incidents that fits their agenda.,OFF
82339,@user yes do hurt your selves gun control freaks.,OFF
98077,@user @user @user @user @user you get more like this guy with every hysterical tweet http,NOT
62815,@user he always shows dedication at what he does no wonder he is the best http,NOT
34510,@user @user @user bullshit! regulations are good because it keeps conservatives from striping our land into the abyss,OFF
53501,@user the owner of my culo,OFF
69928,now she scarred herself for life lol maga http,OFF
31853,@user you fucking -,OFF
13872,confirm the man! the left wing activist is a liar who's story changes! no hard evidence! christine blase y ford innocent until proven guilty! confirm kavanaugh  maga  @user  weak rinos republicans,OFF
30791,@user reagan also signed the first gun control bill as governor of ca,NOT
80385,@user awe hogwash do we really need you to overstate the obvious?,NOT
54292,30+ years as a judge...6 extensive backgrounds...not a peep...link to trump...boom... do conservatives only rape liberals??? http,NOT
28985,i'm assuming i'm not going to get an answer': brainless  liberal stooge ocasio-cortez  .@user on $40t policy plan http wake up america  this is not america's future vote republican  or surrender america to these dem morons @user maga,OFF
52375,"(1) this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) i'm waiting for gun control advocates to add this to their list of school shootings.""  (3) who buys .22 caliber handguns? why? http",NOT
74004,@user @user leftists showing yet again how vile they can be,OFF
70838,@user he is a drunk crazy man.,OFF
64577,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user honored to be included with all these fine patriots ! thank you rena ! maga  united states  grinning_face: two hearts  united_states: dean !  @user http,NOT
44448,@user please shut up ontario is seeing what conservatives stand for @user is not helping you loose this province your never going anywhere.. not they you will any way your completely out of tune with canadian mr. harper oops i mean mr. scheer common mistake you so much alike.,NOT
53928,@user you are not alone. i was sexually assaulted by a fellow law student in 1978. i never reported it because i didn't think i would be believed. however something happened that made me realize i wasn't his only victim. then i felt i'd made a colossal mistake.,NOT
45337,@user but liberals do.,NOT
85707,@user another terrorist attack not reported by msm,NOT
63292,@user dont know who you are so imma just http,NOT
15991,@user all that money hadn't made u smarter.,OFF
25009,@user yes!! he is from gilmer!! it makes me laugh so much!,NOT
90990,@user u both r my lifeline red heart  folded_hands: face with tears of joy  @user,NOT
65785,@user always thought h ford was a level headed guy! guess not! note to ford: climate change is summer-fall- winter-spring!! happens every year! get over it!,NOT
38837,@user yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown winking face ,OFF
94182,@user @user unfortunately you're right. keep it real.  she is the assault weapon!,NOT
77653,@user she is real rocky  fire  fire: fire  oh my god !!,NOT
27238,@user thank you to everyone for making this possible you are amazing and so are the beautiful bears. i'm a member of olivers army and i appreciate everything you do to make lives better.,NOT
12892,@user “yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for emily but she guessed jj wouldn’t profile her,NOT
16885,@user by the way why don’t you move to haiti ? you liberals seem to make shit holes out of large cities. so go somewhere where it’s already a shit hole so you don’t have to do any work !,OFF
46581,@user yes she is,NOT
41517,@user @user @user he tried this before and it went nowhere. he's 100% pro gun control. done.,NOT
22717,@user @user @user @user @user he could have killed as many with a hunting rifle with the time and vantage he had. he had close to an hour before police entered his room. his actual shooting was over 10 min. making this about gun control is just going to get more people killed. we need to be smarter.,NOT
88539,"@user @user aha yes, i see that. the individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. i see a strong sense of this on the q side but on the left/hillary/antifa side as well regardless if they think they're winning or not.""",NOT
65786,@user @user oh no i know why that i just don't know what she is talking about because i don't see a tweet she is repling too lol,NOT
54437,@user and here we have another demonstration that gun free zones don’t work. brought to you by a liberal who more than likely supports stricter gun control.,NOT
19514,shouldn't pussy grabbing @user be the one wearing the gloves while handling food? maga http,OFF
57943,@user you have no plan for the environment. even conservatives should be able to understand that you have to be able to live on the planet to make money there.,NOT
66328,@user @user this is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. that simple fact of life breaks their brains.,NOT
34317,"@user @user @user @user @user @user @user @user @user @user @user @user antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. they do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. there is no forcing views on others"".""",OFF
44837,@user @user soros is at the root of everything and anything anti american. he has his money in hollywood all the way to islam and antifa to illegals . http,NOT
36289,fire morning joe he is cut from the same cloth as all other conservatives. his misogyny and bigotry are always on display. he is responsible for trump. http,OFF
80570,@user @user truly has got to be the most idiotic thing i've ever seen.,OFF
43185,@user @user brigitte gabriel has experienced a life that most would have nightmares from. she is sounding the alarm for americans. buy her book pay attention to what she is warning america about,NOT
86477,@user @user @user @user @user @user @user @user @user it does work. if you want to control a population.  australian gun control had no effect on homicides.,OFF
67080,@user @user poor baby.,NOT
96270,@user @user @user @user antifa = democrats = dixiecrats = kkk http http,NOT
44015,@user @user liberals ruin everything!,OFF
48060,"@user @user @user and don't forget his telling a primarily black liberal audience conservatives want to put them back in chains""""",NOT
31065,@user sad for both!!! to be exploited and also to have a reputation destroyed! now i’ve read she’s  part of antifa! ????!,NOT
11411,@user that's what happens when you let a liberal get a hold of a gun.  that would be a good place to start gun control.  ban liberals from getting guns.,OFF
10133,@user @user you look happy .maga,OFF
22128,@user @user @user trump proposes racial profiling as a tactic 'to start thinking about' http,NOT
36518,@user introducing my sweet sweet baby king! he is always sooo nice! and when i try to sit on the sofa he never attacks me! http,NOT
59559,@user @user @user there all gone tho and inputed them from bottom to top with the first 20seconds of your tweet ! you good 1 tmart  thumbs up light skin tone ,NOT
99618,"@user @user exactly. he is on record basically saying the president is above the law."" it should be noted that the gop is fine with this. rudy has his own issues. http",NOT
53309,kamala harris the new dem emperor with no clothes taxpayers funded ‘unprecedented’ armed protection for gun control sen. kamala harris http via @user,NOT
29497,@user yet she is fat herself.,OFF
84329,@user @user there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings aren't about guilty/innocence got on the bench. times are diff now. why as a journalist you don't call out white supremacy/alt-right but antifa and pick on @user,NOT
50315,@user @user you don’t understand who he is and is capablities. despite the proof in the economy.  my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told. the liberal media made bill clinton look good and could do the same with trump.,NOT
97959,..oath must be subpoenaed to testify. there is a lifetime appointment at stake here. please do it right this time &amp; do not allow  orrin hatch who has already made up his mind she is lying be allowed to question her. his kind of questions could invite a lawsuit.,NOT
66524,@user @user y’all are the best,NOT
97300,@user @user @user what a joke! she is a gem alright!! she is a racist phony! right along with this racist phony. that thinks she will follow me from her second account. and block me. because i speak the truth. i could care less about follower's. like it's a big party. i care that they discriminate http,OFF
12919,@user indeed he is.,NOT
40855,@user @user @user because i'm a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie  (also excuse me for my horrible english it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks.  grinning face with sweat ),NOT
84100,@user yep antifa are literally hitler.,NOT
21270,@user wow you are so hot  smiling face with heart eyes  smiling_face_with_heart-eyes: smiling face with heart eyes  smiling_face_with_heart-eyes: kissing face  kissing_face: kissing face  kissing_face: kissing face ,NOT
41818,@user she is the most deserving woman to be happy !!,NOT
12435,@user @user @user @user i've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.,NOT
14808,@user @user @user may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens. don’t believe all the shit that goes on in your head.,OFF
82579,@user @user that's just modelling. plenty of women make shit tons of money just for looking good,NOT
84523,just watching a horizon show  about scientists that discovered a dna mix between humans and neanderthals.would have thought trump getting elected would have been proof enough. maga,NOT
61917,@user @user i hope there is a way to watch it on tv.  ted spanking liberals is always enjoyable.,NOT
33322,@user @user just looked up his work history he is listed on the board of leading age services aust (lasa) and comes from medicare local alliance...what ever the hell that is,OFF
79251,@user he should look in a mirror!,NOT
42540,@user i’m sure he is.  purple heart ,NOT
13881,@user @user send him this @user party manifesto where they promised they will help families maybe that will remind him his duties. hostile environment price on love skype families @user @user @user http,NOT
70402,"@user @user @user @user families being separated at the border. in fact, the picture of children in cages that liberals were using to show how evil"" trump is was actually taken while obama was president""",NOT
83462,@user @user but antifa is her people,NOT
87206,@user @user we had a peoples vote on 23 june 2016. the people rejected the craven @user worship which you stand for - by a majority of over 1m. you’re contemptuously defying the will of the people &amp; @user 2017 ge manifesto &amp; supporting soros in undermining democracy instead,NOT
87300,@user cause who bitches be playing with  loudly crying face  loudly_crying_face: loudly crying face  loudly_crying_face: god aint give me the gift for nothing,OFF
54125,@user she is free as a bird to return to her muslim homeland,NOT
75848,*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling  woman facepalming light skin tone ,NOT
14948,@user @user melting snow flakes,NOT
66798,@user who’s the victim? that remains to be seen. liberals have turned kavanaughs hearings into a circus from the first minute it started.,NOT
80497,@user coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's,OFF
38561,@user @user you're shocked to hear that liberals want to centralize power at the federal level?,NOT
55203,@user @user he is best of the best! smiling face with heart eyes  smiling_face_with_heart-eyes:,NOT
31776,what i learned today liberals can’t win without lying,NOT
60916,@user fast and furious holder lol,NOT
97277,@user getting scared ugly man?,OFF
63113,@user is one of the only shows that are a progressive that i can stand to watch. he dislikes the right and left evenly and you know who he is right from the start. if you've never seen his show check it out on youtube. insightful  red heart  united_states: maga,NOT
59721,@user he is not supreme court worthy,NOT
53839,@user god i hope not! http,NOT
15616,@user @user @user yes he is,NOT
95200,@user @user @user @user @user bitch.. http,OFF
77769,&amp; terroism &amp; starvation &amp; flint &amp; poverty &amp; climate change &amp; global warming &amp; sex trafficking &amp; bullying &amp; body shaming &amp; police brutality &amp; feminism &amp; gun control &amp; marches &amp; protests,OFF
